SOURCE_KEY,Zero_AC_Count,Low_Efficiency_Count
1BY6WEcLGh8j5v7,1495,3153
1IF53ai7Xc0U56Y,1445,3118
3PZuoBAID5Wc2HD,1447,3118
7JYdWkrLSPkdwr4,1455,3132
McdE0feGgRqW7Ca,1448,3122
VHMLBKoKgIrUVDU,1456,3132
WRmjgnKYAwPKWDb,1447,3118
YxYtjZvoooNbGkE,1429,3104
ZnxXDlPa8U1GXgE,1454,3129
ZoEaEvLYb1n2sOq,1446,3123
adLQvlD726eNBSB,1441,3118
bvBOhCH3iADSZry,1498,3154
iCRJl6heRkivqQ3,1449,3124
ih0vzX44oOqAx2f,1451,3129
pkci93gMrogZuBj,1447,3125
rGa61gmuvPhdLxV,1445,3123
sjndEbLyjtCKgGv,1450,3122
uHbuxQJl8lW7ozc,1448,3125
wCURE6d3bPkepu2,1451,3125
z9Y9gH1T5YWrNuG,1455,3125
zBIq5rxdHJRwDNY,1445,3118
zVJPv84UY57bAof,1449,3123
