Date,Predicted_Yield
2020-06-18,6262286.849819308
2020-06-19,6571694.780104075
2020-06-20,6512285.571582215
2020-06-21,6674803.283999419
2020-06-22,6587242.974625387
2020-06-23,6693623.290022754
2020-06-24,6614228.314931661
2020-06-25,6692096.953606762
2020-06-26,6627039.331042122
2020-06-27,6686626.779653575
2020-06-28,6634891.046949697
2020-06-29,6681217.029263399
2020-06-30,6640470.463473423
2020-07-01,6676682.124237792
2020-07-02,6644692.795237209
2020-07-03,6673050.20207076
2020-07-04,6647962.73173296
2020-07-05,6670183.101754467
2020-07-06,6650515.384543595
2020-07-07,6667930.464310212
2020-07-08,6652513.486100366
2020-07-09,6666163.390383972
2020-07-10,6654078.931165484
2020-07-11,6664777.945743832
2020-07-12,6655305.778143263
2020-07-13,6663691.902806636
2020-07-14,6656267.3622878585
2020-07-15,6662840.609636209
2020-07-16,6657021.063200494
2020-07-17,6662173.337935371
